Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,Less than 2 years,26-35,Female,Germany,Doctorate,Full-time (38+ hours a week),Research Engineer,10 - 100,1 - 5,Very often,Sometimes,Sometimes,Sometimes,Rarely,True,Neutral,Neutral,no. never,no. never,no,lack of training and further education,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Neutral,Neutral,Agree,Female,,no thank you
Yes,21+ years,46-55,Male,United States,Masters degree,Full-time (38+ hours a week),CTO,1001 - 10.000,6 - 10,Sometimes,Sometimes,Rarely,Very often,Sometimes,True,Agree,Agree,one or two times,one or two times,Yes - political scapegoat. A leader needed a sacrificial lamb and picked me.,Being able to fire poor performing team members,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Non-binary,,no thank you
Yes,2-5 years,26-35,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,501 - 1000,1 - 5,Never,Never,Never,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,In my previous job I had an employee that made it difficult to troubleshoot an issue because he wouldn't lend me a hand even though he already knew the solution. He even yelled at me at one point.,Besides the previous experience I have not faced any other obstacles,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Strongly disagree,,,Yes I am willing to keep in touch in case additional information is needed.
Yes,2-5 years,26-35,Male,United States,High school degree or equivalent,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Never,Rarely,Never,Never,Untrue,Agree,Strongly agree,no. never,no. never,In past job searches. I've found my lack of a degree to be a significant blocker. even with a resume and portfolio of large functional software built solely by me and demonstrating my abilities and knowledge.,The lack of a B.S. degree,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Strongly agree,Strongly agree,Neutral,,I work for a small Colorado.U.S company on a team of 6 engineers including an architect. solutions and QA engineers,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,26-35,Male,Germany,High school degree or equivalent,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Rarely,Never,Rarely,Never,Sometimes,Untrue,Agree,Neutral,no. never,no. never,I´m underpaid :/,Money and promotion,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Strongly disagree,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,26-35,Male,United States,High school degree or equivalent,Full-time (38+ hours a week),Product Lead Manager,10.001 - 100.000,26+,Rarely,Never,Rarely,Never,Never,True,Agree,Agree,no. never,no. never,No - But I am a white male which has lead to a different experience than minorities or women,Getting consensus from a group of people who all have different motivations. goals and morals.,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Strongly agree,Strongly agree,Female,I think companies are getting keen on bringing minorities and women into IT leadership roles. While I've seen many examples of sexism in the office. I have only had a male manager for 5 years out of my entire career. so while I realize my experience is my own. Woman and minorities existing in Software aren't completely non-existent like they were not 20-25 years ago.,no thank you
Yes,6-10 years,36-45,Female,United States,High school degree or equivalent,Full-time (38+ hours a week),Developer,10.001 - 100.000,6 - 10,Sometimes,Rarely,Rarely,Sometimes,Rarely,True,Agree,Strongly agree,three or four times,no. never,Everyone is treated unfairly at times.,Stop telling girls how hard it’ll be. it isn’t that bad,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,,no thank you
Yes,21+ years,36-45,Male,Brazil,Masters degree,Full-time (38+ hours a week),Architect,501 - 1000,1 - 5,Very often,Very often,Sometimes,Rarely,Never,True,Agree,Agree,More than four times,no. never,In general. low salaries is a way to be unfairly treated.,Biggest problem: devs turnover. I have seen many projects being crippled by companies not being able to keep specialists.,I have experienced and witnessed this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Disagree,Strongly agree,Strongly agree,Female. Non-binary,No,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Male,Switzerland,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Rarely,Never,Rarely,Rarely,Never,Untrue,Agree,Agree,no. never,no. never,No,Prioritization,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Neutral,Strongly disagree,,,no thank you
Yes,Less than 2 years,18-25,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Rarely,Rarely,Rarely,Rarely,Never,Untrue,Agree,Agree,one or two times,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Neutral,,,Yes I would like to obtain a summary of the results
Yes,Less than 2 years,18-25,Male,India,Bachelors degree,Full-time (38+ hours a week),Product owner,Less than 10,1 - 5,Rarely,Rarely,Sometimes,Never,Never,True,Agree,Strongly agree,no. never,no. never,,I'm really passionate. So I'm a bit slow comparatively.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Agree,Disagree,,,no thank you
Yes,16-20 years,36-45,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Developer,10 - 100,6 - 10,Very often,Sometimes,Sometimes,Rarely,Sometimes,Untrue,Neutral,Neutral,one or two times,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Strongly disagree,,,no thank you
Yes,6-10 years,26-35,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10.001 - 100.000,6 - 10,Very often,Very often,Sometimes,Never,Rarely,True,Agree,Disagree,one or two times,three or four times,No. I enjoy a fair amount of privilege.,politics - I care more about the craft than the culture,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Neutral,Agree,Agree,Agree,Female. Non-binary,,no thank you
Yes,Less than 2 years,18-25,Non-binary,Germany,High school degree or equivalent,Part-time (less than 38 hours a week),Developer,101 - 500,6 - 10,Sometimes,Rarely,Sometimes,Never,Never,Untrue,Neutral,Agree,no. never,no. never,no,imposter syndrome,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Neutral,Agree,Female. Non-binary,i am not out as nonbinary at my workplace and don't plan on doing so in the near future for fear of not being respected,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,100.000+,26+,Always,Always,Very often,Very often,Very often,True,Strongly agree,Agree,no. never,no. never,,,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Male,,Yes I am willing to keep in touch in case additional information is needed.
Yes,21+ years,46-55,Male,United States,Less than a high school diploma,Unemployed (looking for a job),Tester,101 - 500,1 - 5,Rarely,Sometimes,Sometimes,Rarely,Never,True,Strongly agree,Strongly agree,one or two times,no. never,yes. very long hours.,Lack of certifications,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Agree,Strongly agree,Neutral,,,no thank you
Yes,2-5 years,36-45,Female,United States,Associate Degree,Full-time (38+ hours a week),Scrum Master,501 - 1000,6 - 10,Sometimes,Rarely,Sometimes,Sometimes,Rarely,True,Agree,Strongly agree,no. never,no. never,No,Getting team members to follow their own department process,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Neutral,,No,no thank you
Yes,2-5 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Scrum Master,10 - 100,1 - 5,Sometimes,Rarely,Rarely,Never,Never,True,Agree,Strongly agree,More than four times,three or four times,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,18-25,Non-binary,United States,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Sometimes,Rarely,Sometimes,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,2-5 years,26-35,Male,Australia,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Rarely,Rarely,Never,Rarely,Untrue,Neutral,Neutral,one or two times,one or two times,No,I have great idea. but I might not be good at explaining.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Agree,Neutral,,,no thank you
Yes,Less than 2 years,26-35,Female,Other,Masters degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Never,Never,Never,Never,Untrue,Agree,Agree,no. never,no. never,No,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Disagree,Agree,Neutral,,,no thank you
Yes,11-15 years,36-45,Female,Germany,Bachelors degree,Full-time (38+ hours a week),Product owner,501 - 1000,6 - 10,Rarely,Never,Very often,Never,Never,Untrue,Neutral,Disagree,one or two times,no. never,No,,I have experienced this behaviour,I have experienced this behaviour,Neutral,Agree,Neutral,Disagree,,,no thank you
